teamID,kenpom_name,sr_name,bpi_name,sr_games_name,odds_api_name,extra_name3
1,"Abilene Christian","Abilene Christian","Abilene Christian","Abilene Christian","Abilene Christian Wildcats",NULL
2,"Air Force","Air Force","Air Force","Air Force","Air Force Falcons",NULL
3,Akron,Akron,Akron,Akron,"Akron Zips",NULL
4,Alabama,Alabama,Alabama,Alabama,"Alabama Crimson Tide",NULL
5,"Alabama A&M","Alabama A&M","Alabama A&M","Alabama A&M","Alabama A&M Bulldogs",NULL
6,"Alabama St","Alabama State","Alabama State","Alabama State","Alabama St Hornets",NULL
7,Albany,"Albany NY",Albany,"Albany NY","Albany Great Danes",NULL
8,"Alcorn St","Alcorn State","Alcorn State","Alcorn State","Alcorn St Braves",NULL
9,American,American,American,American,"American Eagles",NULL
10,"Appalachian St","Appalachian State","Appalachian State","Appalachian State","Appalachian St Mountaineers",NULL
11,Arizona,Arizona,Arizona,Arizona,"Arizona Wildcats",NULL
12,"Arizona St","Arizona State","Arizona State","Arizona State","Arizona St Sun Devils",NULL
13,Arkansas,Arkansas,Arkansas,Arkansas,"Arkansas Razorbacks",NULL
14,"Arkansas Pine Bluff","Arkansas Pine Bluff","Arkansas Pine Bluff","Arkansas Pine Bluff","Arkansas Pine Bluff Golden Lions",NULL
15,"Arkansas St","Arkansas State","Arkansas State","Arkansas State","Arkansas St Red Wolves",NULL
16,Army,Army,Army,Army,"Army Knights",NULL
17,Auburn,Auburn,Auburn,Auburn,"Auburn Tigers",NULL
18,"Austin Peay","Austin Peay","Austin Peay","Austin Peay","Austin Peay Governors",NULL
19,BYU,"Brigham Young",BYU,BYU,"BYU Cougars",NULL
20,"Ball St","Ball State","Ball State","Ball State","Ball State Cardinals",NULL
21,Baylor,Baylor,Baylor,Baylor,"Baylor Bears",NULL
22,Bellarmine,Bellarmine,Bellarmine,Bellarmine,"Bellarmine Knights",NULL
23,Belmont,Belmont,Belmont,Belmont,"Belmont Bruins",NULL
24,"Bethune Cookman","Bethune Cookman","Bethune Cookman","Bethune Cookman","Bethune Cookman Wildcats",NULL
25,Binghamton,Binghamton,Binghamton,Binghamton,"Binghamton Bearcats",NULL
26,"Boise St","Boise State","Boise State","Boise State","Boise State Broncos",NULL
27,"Boston College","Boston College","Boston College","Boston College","Boston College Eagles",NULL
28,"Boston University","Boston University","Boston Univ","Boston University","Boston Univ Terriers",NULL
29,"Bowling Green","Bowling Green State","Bowling Green","Bowling Green State","Bowling Green Falcons",NULL
30,Bradley,Bradley,Bradley,Bradley,"Bradley Braves",NULL
31,Brown,Brown,Brown,Brown,"Brown Bears",NULL
32,Bryant,Bryant,Bryant,Bryant,"Bryant Bulldogs",NULL
33,Bucknell,Bucknell,Bucknell,Bucknell,"Bucknell Bison",NULL
34,Buffalo,Buffalo,Buffalo,Buffalo,"Buffalo Bulls",NULL
35,Butler,Butler,Butler,Butler,"Butler Bulldogs",NULL
36,"Cal Baptist","California Baptist","California Baptist","California Baptist","Cal Baptist Lancers",NULL
37,"Cal Poly","Cal Poly","Cal Poly","Cal Poly","Cal Poly Mustangs",NULL
38,"Cal St Bakersfield","Cal State Bakersfield","CSU Bakersfield","Cal State Bakersfield","CSU Bakersfield Roadrunners",NULL
39,"Cal St Fullerton","Cal State Fullerton","CSU Fullerton","Cal State Fullerton","CSU Fullerton Titans",NULL
40,"Cal St Northridge","Cal State Northridge","CSU Northridge","Cal State Northridge","CSU Northridge Matadors",NULL
41,California,"University of California",California,California,"California Golden Bears",NULL
42,Campbell,Campbell,Campbell,Campbell,"Campbell Fighting Camels",NULL
43,Canisius,Canisius,Canisius,Canisius,"Canisius Golden Griffins",NULL
44,"Central Arkansas","Central Arkansas","Central Arkansas","Central Arkansas","Central Arkansas Bears",NULL
45,"Central Connecticut","Central Connecticut State","Central Connecticut","Central Connecticut","Central Connecticut St Blue Devils",NULL
46,"Central Michigan","Central Michigan","Central Michigan","Central Michigan","Central Michigan Chippewas",NULL
47,Charleston,"College of Charleston",Charleston,"College of Charleston","Charleston Cougars",NULL
